"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"0035f7e10c2bb3c6c390b0fa0c475c5c","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Calea urticifolia","Castelo, Ricalde & Panero, 2005","1836","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Calea","","urticifolia","","(Mill.) DC., 1836","aceptado"
"732d4c667239d2bc4c4143fdf2c29ea4","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"0525f38a1950afab24025dab7528ce2a","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"22b367affdfbf9063363c37e6b1d59d9","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Desmodium cinereum","Téllez-Valdés, 2009","1825","Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Desmodium","","cinereum","","(Kunth) DC., 1825","aceptado"
"4ea1bf66a0614d8ed8ca296aed453644","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"b6f0652e2ee1b1c643b61712c71421e2","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"cbf433a114494e10e86378d591053f97","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Isochilus bracteatus","Soto-Arenas, Hágsater, Jiménez, Salazar, Solano, Flores & Ruiz, 2007","2000","Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Isochilus","","bracteatus","","(Lex.) Salazar & Soto Arenas ex López-Ferr. & Espejo, 2000","aceptado"
"24d7a83c6e95a2329866e2d56633ec18","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"0145b394ac2766b132808fb0a73471f4","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"dd43720bf1159860e6949dd0278a6a61","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"9aec960dedddd13c9d34ae052f4eca9e","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"4506d11f32c5232ab6ccda829c9af61b","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Salvia sanctae-luciae","González-Gallegos, Pío-León & Castro-Castro, 2021","1856","Plantae","Tracheophyta","Equisetopsida","Lamiales","Lamiaceae","Salvia","","sanctae-luciae","","Seem., 1856","aceptado"
"d01675b472d723f8bb13d016340a3422","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"56a573b9f6bd867f47d703157ab3a70b","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"c1f489db76cc5e79368e7a1f6d1f3df4","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"edf6ec7562860ea02ec9d771c0b9d459","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"1f3e768f0736c49456b81f665ef33a5e","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"08170e252c755b81a5637d5d7a4a8a42","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"8bfe05b5e8fb7f3200acbfe1edb722a5","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"8c711a31db3ae8216b9fd781d53b7823","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"b3aac1fd5e0406477aff62a3ff2a1785","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"c63411ed57312ba04efaa752f76a1e8f","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"a38a4eeb6b9a7d77410761d76f15daab","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Salvia lasiocephala","González-Gallegos, Pío-León & Castro-Castro, 2021","1838","Plantae","Tracheophyta","Equisetopsida","Lamiales","Lamiaceae","Salvia","","lasiocephala","","Hook. & Arn., 1838","aceptado"
"f7a61ca0ee826e9955e104a980a7eb1a","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Hyptis rhytidea","Martínez-Gordillo, Bedolla-García, Cornejo-Tenorio, Fragoso-Martínez, García-Peña, González-Gallegos, Lara-Cabrera & Zamudio, 2017","1839","Plantae","Tracheophyta","Equisetopsida","Lamiales","Lamiaceae","Hyptis","","rhytidea","","Benth., 1839","aceptado"
