"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"705e04c7dc5f3aeb55dadc050757179a","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Rhizophora mangle","Fonseca, 2005","1753","Plantae","Tracheophyta","Equisetopsida","Malpighiales","Rhizophoraceae","Rhizophora","","mangle","","L., 1753","aceptado"
"ad2217e1419448d260598a52ee3ed64c","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Pithecellobium lanceolatum","Rico, 2017","1846","Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Pithecellobium","","lanceolatum","","(Willd.) Benth., 1846","aceptado"
"8bb0bcd54d869d9e9c9bfcec6213d0eb","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Pithecellobium lanceolatum","Rico, 2017","1846","Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Pithecellobium","","lanceolatum","","(Willd.) Benth., 1846","aceptado"
"4bff8613f12c864f440984920f62d3ab","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Hymenocallis littoralis","García-Mendoza, 2013","1812","Plantae","Tracheophyta","Equisetopsida","Asparagales","Amaryllidaceae","Hymenocallis","","littoralis","","(Jacq.) Salisb., 1812","aceptado"
"65de441069e43f39642b309e978768ce","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Hymenocallis littoralis","García-Mendoza, 2013","1812","Plantae","Tracheophyta","Equisetopsida","Asparagales","Amaryllidaceae","Hymenocallis","","littoralis","","(Jacq.) Salisb., 1812","aceptado"
"278732fa93d9451fde205bf1417eb3b7","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Tillandsia paucifolia","Espejo-Serna & López-Ferrari, 2018","1878","Plantae","Tracheophyta","Equisetopsida","Poales","Bromeliaceae","Tillandsia","","paucifolia","","Baker, 1878","aceptado"
"b383088dd873db9bbbd133bf7a16c8e0","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Tillandsia recurvata","Espejo-Serna & López-Ferrari, 2018","1762","Plantae","Tracheophyta","Equisetopsida","Poales","Bromeliaceae","Tillandsia","","recurvata","","(L.) L., 1762","aceptado"
"02e7f0f5c9bc6c9534f60bbb080e5feb","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Cyperus articulatus","González-Elizondo, Reznicek & Tena-Flores, 2018","1753","Plantae","Tracheophyta","Equisetopsida","Poales","Cyperaceae","Cyperus","","articulatus","","L., 1753","aceptado"
"f8d3652c12a402a112ab5595e8bc04f4","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Prosopis juliflora","Hernández, Ricker, Rodríguez Rivera, Castillo Santiago, Hernández Juárez & Hernández, 2020","1825","Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Prosopis","","juliflora","","(Sw.) DC., 1825","aceptado"
"9cb28f570cc4751c1493d18ba4449f31","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Ampelopsis mexicana","Lombardi, 2010","1903","Plantae","Tracheophyta","Equisetopsida","Vitales","Vitaceae","Ampelopsis","","mexicana","","Rose, 1903","sinónimo"
"352754de01360bb6290d4e5d2e81ceb5","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Achatocarpus gracilis","Cué, Villaseñor, Arredondo, Cornejo & Ibarra, 2006","1909","Plantae","Tracheophyta","Equisetopsida","Caryophyllales","Achatocarpaceae","Achatocarpus","","gracilis","","H. Walter, 1909","aceptado"
"cf067e88a8e982d94a2d770572d8fc1f","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Momordica charantia","Lira & Rodríguez-Arévalo, 2006","1753","Plantae","Tracheophyta","Equisetopsida","Cucurbitales","Cucurbitaceae","Momordica","","charantia","","L., 1753","aceptado"
"0435b10c7991ebc28e6baba017a2c67a","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Lycium carolinianum var. quadrifidum","Bernardello & Chiang-Cabrera, 1998","1932","Plantae","Tracheophyta","Equisetopsida","Solanales","Solanaceae","Lycium","","carolinianum","quadrifidum","(Moc. & Sessé ex Dunal) C.L. Hitchc., 1932","aceptado"
